COUNTRY,YEAR_MONTH,TITLE,CHANNELTITLE,VIEW_COUNT,LIKES_RATIO
BR,2021-05-01,CHOREI VENDO A NOVA PARTE INTERNA! 😢 SAVEIRO DOS SONHOS! #2,Julio Cocielo,999619,14.75
CA,2021-05-01,saying goodbye to the tesla :( #shorts,Isaiah Photo,999780,7.78
DE,2021-05-01,Julia Beautx: SO tickt das Girl mit den Likes 😍 I ON MAI WAY,SWR Schlager,99985,3.53
FR,2021-05-01,Xiaomi Mi 11 Ultra - Le MONSTRE,Monsieur GRrr [FR],99869,3.52
GB,2021-05-01,saying goodbye to the tesla :( #shorts,Isaiah Photo,999780,7.78
IN,2021-05-01,NIKHIL & SHANICE COMPLETE WEDDING MOVIE!,Shanice Shrestha Vlogs,999559,11.62
JP,2021-05-01,【抜き打ちチェック】100万人越えのYouTuberの財布を覗いてみたらエグすぎた！！,48-フォーエイト,999724,2.13
KR,2021-05-01,EP.159🚀 곡명 듣자마자 받쓰 시작한 밀당천재 류진? 붐청이 “..그만 부르세요”│#놀라운토요일 Amazing Saturday,놀라운 토요일 Amazing Saturday,998184,1.12
MX,2021-05-01,¡ESTOY ENAMORADA! 🥰 (TODA LA VERDAD) CECIA LOAIZA,Cecia Loaiza,999663,9.23
RU,2021-05-01,Стали ПОЛИЦЕЙСКИМИ на 24 ЧАСА Челлендж !,A4,9997096,8.29
US,2021-05-01,saying goodbye to the tesla :( #shorts,Isaiah Photo,999780,7.78
BR,2021-06-01,TÔ NA ROXTEEN - CLIPE DE MÚSICA OFICIAL (Grupo Brasileiro),ROXTEEN,999626,3.9
CA,2021-06-01,"VOICI COMMENT RATER SA VIE… 😂 (The Game of Life 2 ft. Locklear, Doigby, Deujna)",SQUEEZIE GAMING,999926,6.46
DE,2021-06-01,"Minecraft, Aber Mit Rüstung Aus Jedem Block",Caravas,99983,4.21
FR,2021-06-01,"VOICI COMMENT RATER SA VIE… 😂 (The Game of Life 2 ft. Locklear, Doigby, Deujna)",SQUEEZIE GAMING,999926,6.46
GB,2021-06-01,Insults Continue Over Guests & Food | Come Dine With Me,Come Dine With Me,99969,0.99
IN,2021-06-01,Lockdown Aparatha Season 2 - Episode 2 || The Premier Padminii,THE PREMIER PADMINII,999950,6.14
JP,2021-06-01,痩せる「ホットケーキ」が最強 #Shorts,なーすけFitness,999635,2.55
KR,2021-06-01,[유로2020] 16강전ㅣ이탈리아 VS 오스트리아 - H/L,tvN SPORTS,999512,0.72
MX,2021-06-01,"Christian Nodal, Belinda - Si Nos Dejan (Audio)",ChristianNodalVEVO,999767,4.63
RU,2021-06-01,Nofel Süleymanovun oğlu Rəvan - Dilavər - Həmin Zaur,ARB TV,99982,4.64
US,2021-06-01,Meet the Australian Animals Living in my Yard!,I did a thing,999305,9.12
BR,2021-07-01,Zé Felipe e Os Barões Da Pisadinha - Senta Danada (Videoclipe Oficial),Zé Felipe,9999944,4.07
CA,2021-07-01,taylor swift - the lakes (original version) [audio],TaylorSwiftVEVO,999875,14.25
DE,2021-07-01,taylor swift - the lakes (original version) [audio],TaylorSwiftVEVO,999875,14.25
FR,2021-07-01,Sketch Comme les américains - Jojo Bernard,Jojo Bernard,99908,9.07
GB,2021-07-01,taylor swift - the lakes (original version) [audio],TaylorSwiftVEVO,999875,14.25
IN,2021-07-01,How to Purify Your Blood Naturally?,Fit Tuber,999372,8.53
JP,2021-07-01,【後編】呪われた廃テーマパーク！最期のロシア村スペシャル,ゾゾゾ,999341,3.08
KR,2021-07-01,연매출 120억 34살 칼국수집 사장님이 주차요원을 하는 이유 [조조칼국수] 1화,휴먼스토리,999783,0.95
MX,2021-07-01,taylor swift - the lakes (original version) [audio],TaylorSwiftVEVO,999875,14.25
RU,2021-07-01,"БЕРЕМЕННОСТЬ. Дети из ПРОБИРКИ, роды из БИОПАКЕТА — ТОПЛЕС",ТОПЛЕС,999084,12.81
US,2021-07-01,taylor swift - the lakes (original version) [audio],TaylorSwiftVEVO,999875,14.25
